Food,Calcium (mg),Protein (g),Carbohydrate (g),Fat (g),Calorie (kcal)
Kacang Almond,264,2,14,21,579
Kacang,92,3.9,14,3.4,567
Kacang Tanah,76,1.8,14,49,567
Kembang Kol,28,0.5,56,0,25
Keju Cottage,32,26,31,1.3,452
Kacang Kedelai,277,36.5,30.2,19.9,446
Keju,721,2.4,1.3,60,376
Mie,97,21,31,0.6,352
Daun Salam,314,7.6,75,8.4,313
Kurma,64,2.5,75,0.4,282
Roti,126,25.8,25,1,265
Daging Sapi,130,6,0.1,19,250
Sarden,8,21,0,9,210
Ikan Salmon,12,2,0,8,206
Bubur,8,20,36,19,200
Tempe,111,19,9.4,6.4,193
Ayam,11,2.8,0,1.8,165
Alpukat,13,6,9,14,160
Ketela Pohon,16,1.2,38,0.2,160
Alpukat,14,2,8.5,15.4,160
Oatmeal,17,2,66,0.4,150
Jambu,21,8,9,0.6,148
Quinoa,33,1.5,17,0.2,147
Durian,7,2.5,27.1,5.3,147
Durian,7,2.5,27.1,5.3,147
Beras,5,4,79,0.3,130
Nasi,43,2.9,52,0.2,120
Buah Tin,10,0.3,23,0.4,107
Kacang Hijau,130,7,19.2,0.2,105
Markisa,4,2.2,23.8,0.7,97
Pisang,6,0.3,23,0.2,96
Nangka,24,1.7,23.2,0.6,95
Nangka,24,1.7,23.2,0.6,95
Pisang Ambon,5,1.3,22.8,0.4,89
Jagung,2,8,19,1.5,86
Ubi Jalar,30,1.6,20.1,0.1,86
Delima,10,0.2,18.7,0.3,83
Rambutan,22,0.9,20.9,0.2,82
Salak,8,0.6,22,0.4,82
Rambutan,22,0.9,20.9,0.2,82
Salak Pondoh,9,0.6,20.3,0.3,82
Telur,56,25,0.6,4.8,78
Kentang,22,9,17,0.1,77
Tahu,81,27,2.4,0.4,77
Manggis,2,0.5,15,0.3,73
Matoa,10,1,17,0.2,70
Jengkol,50,5.2,16,0.3,70
Matoa,10,1,17,0.2,70
Anggur,10,25,18,0.2,69
Jambu Biji,18,2.6,14.3,0.5,68
Jambu Biji,18,2.6,14.3,0.5,68
Anggur,5,0.6,16,0.2,67
Sirsak,14,1,16.8,0.3,66
Leci,5,0.9,17,0.2,66
Sirsak,14,1,16.8,0.3,66
Blueberry,64,1.6,30,0.4,65
Susu,118,21,12,5,61
Kiwi,34,0.9,14.7,0.6,61
Kiwi Selandia Baru,36,1.1,14.8,0.5,61
Kiwi Zespri,34,0.8,14.7,0.6,61
Kiwi Golden,34,0.8,14.7,0.6,61
Mangga,11,0.6,15,0.3,60
Yogurt,49,20,6,0.4,59
Kiwi,38,1.3,4,0.2,58
Blueberry,9,0.7,14.5,0.3,57
Pir,11,0.4,15.6,0.3,57
Lobak,34,1.1,25,0.1,55
Apel,2,10,14,0.4,52
Apel Fuji,4,0.3,14.9,0.4,52
Raspberry,22,1.5,5.4,0.7,52
Ikan Tuna,237,1.6,1.5,0.3,50
